yearseq_iso	yearseq	year	seq	dis_group	dis_subgroup	dis_type	dis_subtype	dis_subsubtype	event_name	country_name	iso	region	continent	location	associated_dis	associated_dis2	start_year	start_month	start_day	end_year	end_month	end_day	no_killed	no_injured	no_affected	no_homeless	total_affected	total_dam ('000 US$)	Notes
19982_BGD	19982	1998	2	Natural	Meteorological	Extreme temperature	Cold wave	--		Bangladesh	BGD	Southern Asia	Asia	Jessore, Rajshahi, Khulna			1998	1	9	1998	1	9	120	0	34000	0	34000	0	
199848_PAK	199848	1998	48	Natural	Hydrological	Flood	--	--		Pakistan	PAK	Southern Asia	Asia	Kech Valley (Baluchistan province)			1998	3	2	1998	3	5	1000	0	200000	0	200000	0	
199857_IDN	199857	1998	57	Natural	Climatological	Wildfire	Forest fire	--		Indonesia	IDN	South-Eastern Asia	Asia	Kalimatan Province (Borneo Isl.)			1998	3		1998	4		3	0	2000	0	2000	1300000	
199857_MYS	199857	1998	57	Natural	Climatological	Wildfire	Forest fire	--		Malaysia	MYS	South-Eastern Asia	Asia				1998	3	4	1998	5	30	0	0	0	0	0	2000	
199861_IND	199861	1998	61	Natural	Hydrological	Mass movement wet	Landslide	--		India	IND	Southern Asia	Asia	Himachal Pradesh			1998	3	5	1998	3	5	26	0	0	0	0	0	
199864_PAK	199864	1998	64	Natural	Hydrological	Mass movement wet	Landslide	--		Pakistan	PAK	Southern Asia	Asia	Kashmir = Jamnu and Kashmir (IN1)			1998	3	13	1998	3	13	13	0	0	3000	3000	0	
1998101_BGD	1998101	1998	101	Natural	Meteorological	Storm	--	--		Bangladesh	BGD	Southern Asia	Asia	Chittagong			1998	4	23	1998	4	23	14	200	0	0	200	0	
1998106_IND	1998106	1998	106	Natural	Meteorological	Storm	Local storm	Tornado		India	IND	Southern Asia	Asia	Tanton, Jaleshwar (Midnapore, West Bengal), Balasore district (Orissa)			1998	3	24	1998	3	24	250	2500	38000	0	40500	10000	
1998159_VNM	1998159	1998	159	Natural	Meteorological	Storm	Local storm	Tornado		Viet Nam	VNM	South-Eastern Asia	Asia	Thanh Hoa province			1998	5	8	1998	5	8	42	0	0	500	500	0	
1998164_BGD	1998164	1998	164	Natural	Meteorological	Storm	Tropical cyclone	--	01B	Bangladesh	BGD	Southern Asia	Asia	Chittagong, Cox\'s Bazar, Sitakundu			1998	5	20	1998	5	20	19	504	108440	0	108944	0	
1998178_IND	1998178	1998	178	Natural	Hydrological	Mass movement wet	Landslide	--		India	IND	Southern Asia	Asia	Assam			1998	6	3	1998	6	3	48	150	0	0	150	0	
1998183_IND	1998183	1998	183	Natural	Meteorological	Storm	Tropical cyclone	--	03A	India	IND	Southern Asia	Asia	Kutch, Porbandar, Jamnagar, Junagadh, Amreli, Bhavnagar, Banaskhanta, Surat, Bharuch, Rajkot, Valsad, Nasvari districts (Gujarat state), Barmer, Jallore districts (Rajasthan state), Ratnagiri district (Maharasthra)			1998	6	9	1998	6	11	2871	893	4600000	0	4600893	469000	
1998184_PAK	1998184	1998	184	Natural	Meteorological	Storm	--	--		Pakistan	PAK	Southern Asia	Asia	Karachi=level 2 Sing = Level 1			1998	6	10	1998	6	10	12	0	0	0	0	0	
1998203_BGD	1998203	1998	203	Natural	Hydrological	Flood	General flood	--		Bangladesh	BGD	Southern Asia	Asia	Mymensingh, Jamalpur, Sherpur, Hobiganj, Rangpur, Sirajangj, Manikganj, Pabna, Rajbari, Rajshahi, Kurigram, Faridpur, Nilphamari, Gaibandha, Lalmonirhat, Khagrachari, Chitagong, Feni, Comilla, Cox\'s Bazar, Tangail, Natore districts			1998	7	5	1998	9	22	1050	50	15000000	0	15000050	4300000	
