event_id	geoname_id	precision_code	latitude	longitude	country_iati_code	country	location_type	geoname_adm_code	geonames_adm_name				
1999576_BGD	1185286	3	22.8	90.5	BD	Bangladesh	second-order administrative division	BD|575|5762	Bangladesh|Barisal|Barisal	 	 	 	 
1999576_BGD	1337229	4	22.5	90.33333	BD	Bangladesh	first-order administrative division	BD|575|	Bangladesh|Barisal|	 	 	 	 
1999576_BGD	1337215	3	22.36667	90.81667	BD	Bangladesh	second-order administrative division	BD|575|5763	Bangladesh|Barisal|Bhola	 	 	 	 
1999576_BGD	1337216	3	22.33333	90.33333	BD	Bangladesh	second-order administrative division	BD|575|5765	Bangladesh|Barisal|Patuakhali	 	 	 	 
1999425_IND	1277600	3	21.5	86.75	IN	India	second-order administrative division	IN|1504|70207	India|Orissa|Baleshwar	 	 	 	 
1999425_IND	7644924	3	21	86.6	IN	India	second-order administrative division	IN|1504|70209	India|Orissa|Bhadrak	 	 	 	 
1999425_IND	1273781	3	20.5	86.25	IN	India	second-order administrative division	IN|1504|17809	India|Orissa|Cuttack	 	 	 	 
1999425_IND	1272781	3	20.75	85.5	IN	India	second-order administrative division	IN|1504|17810	India|Orissa|Dhenkanal	 	 	 	 
1999425_IND	7644925	3	20.2	86.3	IN	India	second-order administrative division	IN|1504|70214	India|Orissa|Jagatsinghpur	 	 	 	 
1999425_IND	9645384	3	20.84149	86.31237	IN	India	second-order administrative division	IN|1504|70215	India|Orissa|Jajpur	 	 	 	 
1999425_IND	7644926	3	20.5	86.5	IN	India	second-order administrative division	IN|1504|70218	India|Orissa|Kendrapara	 	 	 	 
1999425_IND	1267268	3	21.5	85.5	IN	India	second-order administrative division	IN|1504|17813	India|Orissa|Keonjhar	 	 	 	 
1999425_IND	1266616	1	20.18268	85.61629	IN	India	populated place	IN|1504|70219	India|Orissa|Khordha	 	 	 	 
1999425_IND	1263245	3	21.75	86.5	IN	India	second-order administrative division	IN|1504|17816	India|Orissa|Mayurbhanj	 	 	 	 
1999425_IND	8986741	3	20.13	85.1	IN	India	second-order administrative division	IN|1504|70222	India|Orissa|Nayagarh	 	 	 	 
1999425_IND	7644928	3	19.9	85.6	IN	India	second-order administrative division	IN|1504|17818	India|Orissa|Puri	 	 	 	 
1999589_IDN	7102366	2	-0.95212	100.3523	ID	Indonesia	populated place	ID|1535|18204	Indonesia|Sumatera Barat|Kota Padang	 	 	 	 
1999428_VNM	1905468	4	16.08333	108.08333	VN	Viet Nam	first-order administrative division	VN|3340|	Viet Nam|Da Nang City|	 	 	 	 
1999428_VNM	1587871	4	14.16667	109	VN	Viet Nam	first-order administrative division	VN|3333|	Viet Nam|Binh Dinh|	 	 	 	 
1999428_VNM	1580700	4	18.33333	105.75	VN	Viet Nam	first-order administrative division	VN|3349|	Viet Nam|Ha Tinh|	 	 	 	 
1999428_VNM	1559969	4	19.25	104.91667	VN	Viet Nam	first-order administrative division	VN|3366|	Viet Nam|Nghe An|	 	 	 	 
1999428_VNM	1568839	4	17.5	106.33333	VN	Viet Nam	first-order administrative division	VN|3371|	Viet Nam|Quang Binh|	 	 	 	 
1999428_VNM	1905516	4	15.58333	107.91667	VN	Viet Nam	first-order administrative division	VN|3372|	Viet Nam|Quang Nam|	 	 	 	 
1999428_VNM	1568769	4	15	108.66667	VN	Viet Nam	first-order administrative division	VN|3374|	Viet Nam|Quang Ngai|	 	 	 	 
1999428_VNM	1568733	4	16.75	107	VN	Viet Nam	first-order administrative division	VN|3376|	Viet Nam|Quang Tri|	 	 	 	 
1999428_VNM	1566165	4	20.06667	105.33333	VN	Viet Nam	first-order administrative division	VN|3382|	Viet Nam|Thanh Hoa|	 	 	 	 
1999428_VNM	1565033	4	16.33333	107.58333	VN	Viet Nam	first-order administrative division	VN|3383|	Viet Nam|Thua Thien - Hue|	 	 	 	 
1998579_PAK	1168197	1	34.008	71.57849	PK	Pakistan	seat of a first-order administrative division	PK|2275|40347	Pakistan|Nwfp|Peshawar	 	 	 	 
1998579_PAK	1166993	1	33.6007	73.0679	PK	Pakistan	seat of a second-order administrative division	PK|2276|23674	Pakistan|Punjab|Rawalpindi	 	 	 	 
1998579_PAK	1162341	1	34.17194	72.27194	PK	Pakistan	populated place	PK|2275|40349	Pakistan|Nwfp|Swabi	 	 	 	 
1999401_IND	8533699	3	18.91	84.2	IN	India	second-order administrative division	IN|1504|70213	India|Orissa|Gajapati	 	 	 	 
1999401_IND	1271622	3	19.5	84.5	IN	India	second-order administrative division	IN|1504|17811	India|Orissa|Ganjam	 	 	 	 
1999401_IND	7644927	3	20.2	85.6	IN	India	second-order administrative division	IN|1504|70219	India|Orissa|Khordha	 	 	 	 
1999401_IND	1261029	4	20.5	84.41667	IN	India	first-order administrative division	IN|1504|	India|Orissa|	 	 	 	 
1999401_IND	7644928	3	19.9	85.6	IN	India	second-order administrative division	IN|1504|17818	India|Orissa|Puri	 	 	 	 
1998379_IND	8335137	3	22.40813	87.38107	IN	India	second-order administrative division	IN|1511|70296	India|West Bengal|West Midnapore	 	 	 	 
1998379_IND	8335139	3	21.93732	87.77633	IN	India	second-order administrative division	IN|1511|70291	India|West Bengal|East Midnapore	 	 	 	 
1998379_IND	1252881	4	24	88	IN	India	first-order administrative division	IN|1511|	India|West Bengal|	 	 	 	 
1999131_PAK	1168579	6	30	70	PK	Pakistan	independent political entity	PK||	Pakistan||	 	 	 	 
19999037_THA	1605651	6	15.5	101	TH	Thailand	independent political entity	TH||	Thailand||	 	 	 	 
19989062_MYS	1733039	4	5.5	117	MY	Malaysia	first-order administrative division	MY|1901|	Malaysia|Sabah|	 	 	 	 
1999156_NPL	1282988	6	28	84	NP	Nepal	independent political entity	NP||	Nepal||	 	 	 	 
19997_IDN	1650534	5	-8.33333	115	ID	Indonesia	island	ID||	Indonesia||	 	 	 	 
1998101_BGD	1337200	4	22.91667	91.5	BD	Bangladesh	first-order administrative division	BD|576|	Bangladesh|Chittagong|	 	 	 	 
1999532_BGD	1337209	3	22.4	89.75	BD	Bangladesh	second-order administrative division	BD|578|5795	Bangladesh|Khulna|Bagerhat	 	 	 	 
1999532_BGD	1337217	3	22.13333	90.13333	BD	Bangladesh	second-order administrative division	BD|575|5761	Bangladesh|Barisal|Barguna	 	 	 	 
1999532_BGD	1337211	3	22.5	89.33333	BD	Bangladesh	second-order administrative division	BD|578|5799	Bangladesh|Khulna|Khulna	 	 	 	 
1999532_BGD	1337213	3	21.94063	89.78011	BD	Bangladesh	second-order administrative division	BD|575|5766	Bangladesh|Barisal|Pirojpur	 	 	 	 
1999532_BGD	1337212	3	22.35	89.15	BD	Bangladesh	second-order administrative division	BD|578|5804	Bangladesh|Khulna|Satkhira	 	 	 	 
1998450_IND	1269843	1	17.38405	78.45636	IN	India	seat of a first-order administrative division	IN|1485|17553	India|Andhra Pradesh|Hyderabad	 	 	 	 
1998450_IND	1278629	4	15.5	79.5	IN	India	first-order administrative division	IN|1485|	India|Andhra Pradesh|	 	 	 	 
1998438_BGD	1210997	6	24	90	BD	Bangladesh	independent political entity	BD||	Bangladesh||	 	 	 	 
1998374_VNM	1581088	4	13.75	108.25	VN	Viet Nam	first-order administrative division	VN|3344|	Viet Nam|Gia Lai|	 	 	 	 
1998374_VNM	1565088	4	14.75	107.91667	VN	Viet Nam	first-order administrative division	VN|3357|	Viet Nam|Kon Tum|	 	 	 	 
1998374_VNM	1905468	4	16.08333	108.08333	VN	Viet Nam	first-order administrative division	VN|3340|	Viet Nam|Da Nang City|	 	 	 	 
1998374_VNM	1587871	4	14.16667	109	VN	Viet Nam	first-order administrative division	VN|3333|	Viet Nam|Binh Dinh|	 	 	 	 
